DDCTransactionId2E282E584EEED721716592B3ED7CEDB8_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F77202_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.03-10.05.19, Duration=56.165031, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdA6DC8C914ABA3E4E53087393F1EF7953_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__66F5A912C12ECCBFC7828C141D8C68C1A07C0A15, StartTime=2016.05.03-10.05.19, HierarchicalDDC=, DataSize=65797, Duration=0.052404, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdC5E4E0694E5EA62B225A51A3E8940016_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__4776B6E2E6502A15BA73B7522CDBB3F8E50002AD, StartTime=2016.05.03-10.05.19, HierarchicalDDC=, DataSize=22665, Duration=0.071377, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId2E282E584EEED721716592B3ED7CEDB8_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F74_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.03-10.05.20, Duration=5.788863, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdC5E4E0694E5EA62B225A51A3E8940016_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__67B45977DAEC48FA9C18EFBA3BE582AF431E813E, StartTime=2016.05.03-10.05.20, HierarchicalDDC=, DataSize=262405, Duration=0.164438, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdA6DC8C914ABA3E4E53087393F1EF7953_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__1380E9E5B67F360AFCB4C5A6C93158D79092F47B, StartTime=2016.05.03-10.05.20, HierarchicalDDC=, DataSize=65797, Duration=0.054814, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdC5E4E0694E5EA62B225A51A3E8940016_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__E382EECA4C24A5DC232BE9247DC197F6B8DC702B, StartTime=2016.05.03-10.05.20, HierarchicalDDC=, DataSize=22958, Duration=0.019576, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId2E282E584EEED721716592B3ED7CEDB8_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.03-10.05.20, Duration=45.951015, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdA6DC8C914ABA3E4E53087393F1EF7953_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___018F4075D3397499A38D84DACDCE819C495D7211, StartTime=2016.05.03-10.05.20, HierarchicalDDC=, DataSize=65795, Duration=0.077102, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdC5E4E0694E5EA62B225A51A3E8940016_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___1978717988CE205C32B2214CC1D518693DF7C4D6, StartTime=2016.05.03-10.05.20, HierarchicalDDC=, DataSize=16643, Duration=0.035841, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdA6DC8C914ABA3E4E53087393F1EF7953_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___AFD2E7B6C000DBB57C3C2251719C132A8B58702E, StartTime=2016.05.03-10.05.20, HierarchicalDDC=, DataSize=6591, Duration=0.017170, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId2E282E584EEED721716592B3ED7CEDB8_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E98A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.03-10.05.20, Duration=162.950180, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
